index,zone,geoid
0,1,31039
1,3,53069
2,2,35011
3,1,31109
4,1,31129
5,1,46099
6,3,48327
7,2,06091
8,2,21053
9,1,39063
10,2,48189
11,1,01027
12,2,48011
13,1,39003
14,3,13189
15,2,55111
16,2,05137
17,3,41063
18,1,42007
19,3,28061
20,2,29083
21,2,08109
22,3,37037
23,2,49033
24,2,40001
25,2,39085
26,1,51775
27,1,51121
28,2,47065
29,2,35035
30,2,35003
31,3,01091
32,1,56023
33,2,29011
34,3,48057
35,3,51735
36,1,54075
37,3,48077
38,3,51095
39,2,31101
40,1,31137
41,3,22019
42,3,22111
43,2,40135
44,2,01049
45,1,36101
46,2,42053
47,3,22105
48,1,51179
49,2,26109
50,2,18073
51,3,13025
52,2,13171
53,1,18151
54,3,48361
55,1,39047
56,2,25015
57,1,21003
58,3,37001
59,2,20073
60,3,25025
61,2,16051
62,3,48177
63,2,47115
64,2,26007
65,2,21231
66,2,47185
67,3,48147
68,2,20043
69,3,48265
70,3,12053
71,3,12129
72,3,12131
73,2,28017
74,2,02130
75,3,26035
76,1,20157
77,3,12127
78,3,40017
79,2,13115
80,2,32001
81,1,31181
82,1,17067
83,1,46067
84,2,41013
85,2,50011
86,2,26103
87,1,09007
88,3,37057
89,2,17025
90,2,29103
91,2,29117
92,1,42117
93,1,31043
94,2,26089
95,3,51181
96,3,48391
97,1,39017
98,3,13273
99,2,13063
100,1,56013
101,2,18115
102,3,13073
103,1,08115
104,2,30065
105,1,42043
106,1,46101
107,2,54079
108,1,34037
109,1,20039
110,2,18123
111,2,28145
112,1,31015
113,2,27095
114,1,38099
115,2,39115
116,2,39133
117,1,56041
118,2,32013
119,3,48247
120,1,08017
121,3,41005
122,3,05113
123,3,13193
124,1,18007
125,3,47129
126,1,46043
127,3,24047
128,2,17185
129,1,18069
130,1,21209
131,1,19053
132,1,18169
133,1,18003
134,1,18099
135,3,31171
136,1,38085
137,3,48127
138,1,27045
139,3,45023
140,1,27073
141,2,49005
142,1,55093
143,3,13049
144,3,13233
145,1,17113
146,1,23001
147,1,16055
148,3,32003
149,1,20147
150,3,31089
151,2,29101
152,2,55063
153,3,22021
154,2,21061
155,2,17005
156,1,17009
157,1,27085
158,2,55033
159,1,08027
160,2,29123
161,3,48353
162,2,42127
163,2,36091
164,3,48041
165,3,40095
166,2,24001
167,1,54103
168,2,55053
169,2,41007
170,3,53041
171,1,36003
172,1,19031
173,1,18117
174,1,13089
175,2,13227
176,1,30015
177,3,31017
178,3,47013
179,2,37069
180,2,24510
181,2,20111
182,1,19027
183,3,22107
184,1,47123
185,1,20075
186,1,19151
187,3,16045
188,2,05063
189,3,05085
190,2,18111
191,2,13119
192,3,12051
193,3,13265
194,3,48245
195,1,30059
196,1,08067
197,3,48027
198,3,28069
199,3,05019
200,2,41035
201,2,36075
202,2,01019
203,3,48019
204,1,30087
205,2,35059
206,3,26153
207,1,36111
208,2,34007
209,1,17083
210,3,51085
211,1,20199
212,2,26003
213,2,05049
214,3,48215
215,3,37155
216,3,26123
217,2,41049
218,1,27153
219,3,05083
220,2,37109
221,3,05091
222,3,12095
223,2,08111
224,2,16041
225,2,13045
226,1,20161
227,3,48413
228,1,51167
229,2,37027
230,2,16065
231,2,18173
232,1,21001
233,2,21077
234,1,21097
235,2,23023
236,2,30097
237,3,48181
238,2,42059
239,3,02188
240,1,20051
241,2,01065
242,2,01105
243,1,01033
244,1,20151
245,1,21017
246,1,47149
247,3,13075
248,1,20101
249,3,40059
250,1,17147
251,2,48107
252,2,01063
253,1,16033
254,1,19109
255,1,38013
256,3,37063
257,1,19085
258,2,31103
259,1,19187
260,2,17151
261,1,47159
262,1,51089
263,3,51510
264,1,19101
265,1,30049
266,1,49013
267,3,40003
268,3,48119
269,1,47169
270,2,21193
271,1,46039
272,3,41029
273,3,48507
274,2,31007
275,1,19121
276,3,12011
277,3,13279
278,2,26151
279,3,48397
280,3,26163
281,1,27105
282,2,27001
283,1,38071
284,3,37145
285,1,20195
286,3,28151
287,3,48133
288,3,28055
289,3,48123
290,3,48005
291,3,45081
